cap_mw,mw_bought,mw_bought_per_pbat,feasible,revenue_eur,loss_frac,loss_eur_mw_y,peak_grid_mw,zone,duration_h,profile,peak_per_pbat,ceiling_eur,hours
4.4999881075537305,0.5,0.5,False,,,,,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
4.399988107553731,0.5999999999999996,0.5999999999999996,False,,,,,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
4.29998810755373,0.7000000000000002,0.7000000000000002,False,,,,,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
4.199988107553731,0.7999999999999998,0.7999999999999998,False,,,,,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
4.09998810755373,0.9000000000000004,0.9000000000000004,False,,,,,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
3.9999881075537305,1.0,1.0,False,,,,,DE-LU,4.0,cooling,5.0,146826.14035311254,8760
2.9999952430214925,-1.0,-1.0,True,146826.14035311254,0.0,0.0,2.9996482837536087,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
2.7499952430214925,-0.75,-0.75,True,144932.9778837575,0.0128939061178209,1893.16246935504,2.749995243021493,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
2.4999952430214925,-0.5,-0.5,True,136194.5822430469,0.0724091642298643,10631.558110065642,2.499995243021493,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
2.2499952430214925,-0.25,-0.25,True,113818.08204779628,0.224810501903359,33008.05830531627,2.249995243021493,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
1.9999952430214925,0.0,0.0,True,75831.13427553274,0.4835311062923735,70995.0060775798,1.999995243021493,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
1.8999952430214924,0.1,0.1,True,53989.66855339009,0.6322884438455814,92836.47179972244,1.8999952430214924,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
1.7999952430214925,0.1999999999999999,0.1999999999999999,False,,,,,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
1.6999952430214924,0.3,0.3,False,,,,,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
1.5999952430214923,0.3999999999999999,0.3999999999999999,False,,,,,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
1.4999952430214925,0.5,0.5,False,,,,,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
1.3999952430214924,0.6000000000000001,0.6000000000000001,False,,,,,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
1.2999952430214925,0.7,0.7,False,,,,,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
1.1999952430214924,0.8,0.8,False,,,,,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
1.0999952430214923,0.8999999999999999,0.8999999999999999,False,,,,,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
0.9999952430214925,1.0,1.0,False,,,,,DE-LU,4.0,cooling,2.0,146826.14035311254,8760
10.99997621510746,-1.0,-1.0,True,146826.14035311254,0.0,0.0,10.998241418768044,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
10.74997621510746,-0.75,-0.75,True,146604.6176515055,0.0015087415706377,221.52270160702756,10.74997621510746,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
10.49997621510746,-0.5,-0.5,True,145422.26123306417,0.0095615066681729,1403.8791200483683,10.49997621510746,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
10.24997621510746,-0.25,-0.25,True,142147.2867814453,0.0318666251146747,4678.853571667249,10.24997621510746,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
9.99997621510746,0.0,0.0,True,133538.27806628053,0.0905006578179817,13287.862286832007,9.99997621510746,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
9.89997621510746,0.0999999999999996,0.0999999999999996,True,127557.75172325555,0.1312326850213256,19268.38862985697,9.89997621510746,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
9.799976215107462,0.1999999999999993,0.1999999999999993,True,119635.41926159196,0.1851899193571913,27190.721091520565,9.799976215107462,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
9.69997621510746,0.3000000000000007,0.3000000000000007,True,109976.65426757644,0.2509736072671676,36849.486085536104,9.69997621510746,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
9.59997621510746,0.4000000000000003,0.4000000000000003,True,98444.03033241985,0.3295197292820961,48382.11002069269,9.59997621510746,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
9.49997621510746,0.5,0.5,True,84819.90381084401,0.4223106075876227,62006.236542268525,9.49997621510746,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
9.39997621510746,0.5999999999999996,0.5999999999999996,True,68895.25617360877,0.530769820633317,77930.88417950377,9.39997621510746,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
9.299976215107462,0.6999999999999993,0.6999999999999993,False,,,,,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
9.19997621510746,0.8000000000000007,0.8000000000000007,False,,,,,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
9.09997621510746,0.9000000000000004,0.9000000000000004,False,,,,,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
8.999976215107461,1.0,1.0,False,,,,,DE-LU,4.0,cooling,10.0,146826.14035311254,8760
6.0,-1.0,-1.0,True,75217.86719389354,0.0,0.0,6.0,FR,2.0,flat,5.0,75217.86719389354,8736
5.75,-0.75,-0.75,True,73592.27136344633,0.0216118309531008,1630.0617530583338,5.75,FR,2.0,flat,5.0,75217.86719389354,8736
5.5,-0.5,-0.5,True,70152.56135550307,0.0673417902867856,5079.221513770665,5.5,FR,2.0,flat,5.0,75217.86719389354,8736
5.25,-0.25,-0.25,True,58699.964897620215,0.2196007798744699,16563.28114873562,5.25,FR,2.0,flat,5.0,75217.86719389354,8736
5.0,0.0,0.0,True,0.0,1.0,75424.50968618446,5.0,FR,2.0,flat,5.0,75217.86719389354,8736
4.9,0.0999999999999996,0.0999999999999996,False,,,,,FR,2.0,flat,5.0,75217.86719389354,8736
4.8,0.2000000000000001,0.2000000000000001,False,,,,,FR,2.0,flat,5.0,75217.86719389354,8736
4.7,0.2999999999999998,0.2999999999999998,False,,,,,FR,2.0,flat,5.0,75217.86719389354,8736
4.6,0.4000000000000003,0.4000000000000003,False,,,,,FR,2.0,flat,5.0,75217.86719389354,8736
4.5,0.5,0.5,False,,,,,FR,2.0,flat,5.0,75217.86719389354,8736
4.4,0.5999999999999996,0.5999999999999996,False,,,,,FR,2.0,flat,5.0,75217.86719389354,8736
4.3,0.7000000000000002,0.7000000000000002,False,,,,,FR,2.0,flat,5.0,75217.86719389354,8736
4.2,0.7999999999999998,0.7999999999999998,False,,,,,FR,2.0,flat,5.0,75217.86719389354,8736
4.1,0.9000000000000004,0.9000000000000004,False,,,,,FR,2.0,flat,5.0,75217.86719389354,8736
4.0,1.0,1.0,False,,,,,FR,2.0,flat,5.0,75217.86719389354,8736
5.9999881075537305,-1.0,-1.0,True,75217.86719389354,0.0,0.0,5.997034328697059,FR,2.0,cooling,5.0,75217.86719389354,8736
5.7499881075537305,-0.75,-0.75,True,75129.3699687837,0.0011765452599408,88.74034935464427,5.7499881075537305,FR,2.0,cooling,5.0,75217.86719389354,8736
5.4999881075537305,-0.5,-0.5,True,74721.18707426701,0.0066032199284008,498.0446254496794,5.4999881075537305,FR,2.0,cooling,5.0,75217.86719389354,8736
5.2499881075537305,-0.25,-0.25,True,73448.10512137043,0.0235284798485589,1774.6240562388327,5.2499881075537305,FR,2.0,cooling,5.0,75217.86719389354,8736
4.9999881075537305,0.0,0.0,True,67816.15743801103,0.0984036111633249,7422.044123343735,4.9999881075537305,FR,2.0,cooling,5.0,75217.86719389354,8736
4.899988107553731,0.0999999999999996,0.0999999999999996,True,61485.64411562833,0.1825659725616368,13769.948965842865,4.899988107553731,FR,2.0,cooling,5.0,75217.86719389354,8736
4.79998810755373,0.2000000000000001,0.2000000000000001,True,51609.54220679665,0.3138659186685035,23673.18302277573,4.79998810755373,FR,2.0,cooling,5.0,75217.86719389354,8736
4.699988107553731,0.2999999999999998,0.2999999999999998,True,38449.93395185112,0.4888191411658024,36868.94404765243,4.699988107553731,FR,2.0,cooling,5.0,75217.86719389354,8736
4.59998810755373,0.4000000000000003,0.4000000000000003,False,,,,,FR,2.0,cooling,5.0,75217.86719389354,8736
4.4999881075537305,0.5,0.5,False,,,,,FR,2.0,cooling,5.0,75217.86719389354,8736
4.399988107553731,0.5999999999999996,0.5999999999999996,False,,,,,FR,2.0,cooling,5.0,75217.86719389354,8736
4.29998810755373,0.7000000000000002,0.7000000000000002,False,,,,,FR,2.0,cooling,5.0,75217.86719389354,8736
4.199988107553731,0.7999999999999998,0.7999999999999998,False,,,,,FR,2.0,cooling,5.0,75217.86719389354,8736
4.09998810755373,0.9000000000000004,0.9000000000000004,False,,,,,FR,2.0,cooling,5.0,75217.86719389354,8736
3.9999881075537305,1.0,1.0,False,,,,,FR,2.0,cooling,5.0,75217.86719389354,8736
6.0,-1.0,-1.0,True,123976.99855747222,0.0,0.0,6.0,FR,4.0,flat,5.0,123976.99855747222,8736
